Capped GPU memory fraction to 0.80
train shards: 251, val shards: 13
train samples: 35,609,201, val samples: 2,090,714  (filter num_players=6, suit_permute=True)
model: 1.81M params
step  19500 | lr 2.84e-04 | loss 1.1088 pol 1.1010 rf 0.0781 acc 69.2% | 13 it/s
step  19600 | lr 2.84e-04 | loss 1.0895 pol 1.0808 rf 0.0875 acc 71.1% | 13 it/s
step  19700 | lr 2.84e-04 | loss 1.1072 pol 1.0994 rf 0.0785 acc 69.7% | 13 it/s
step  19800 | lr 2.83e-04 | loss 1.1011 pol 1.0940 rf 0.0710 acc 70.1% | 13 it/s
step  19900 | lr 2.83e-04 | loss 1.1097 pol 1.1028 rf 0.0689 acc 69.5% | 13 it/s
step  20000 | lr 2.83e-04 | loss 1.1124 pol 1.1051 rf 0.0734 acc 68.7% | 13 it/s
[eval] step 20000 val_loss 1.1382 val_acc 70.1%
step  20100 | lr 2.83e-04 | loss 1.1139 pol 1.1059 rf 0.0792 acc 68.4% | 13 it/s
step  20200 | lr 2.83e-04 | loss 1.0964 pol 1.0886 rf 0.0776 acc 69.5% | 13 it/s
step  20300 | lr 2.83e-04 | loss 1.1089 pol 1.1015 rf 0.0733 acc 70.0% | 13 it/s
step  20400 | lr 2.82e-04 | loss 1.1123 pol 1.1048 rf 0.0741 acc 69.5% | 13 it/s
step  20500 | lr 2.82e-04 | loss 1.1054 pol 1.0972 rf 0.0817 acc 69.9% | 13 it/s
step  20600 | lr 2.82e-04 | loss 1.0986 pol 1.0908 rf 0.0782 acc 70.3% | 13 it/s
step  20700 | lr 2.82e-04 | loss 1.1098 pol 1.1029 rf 0.0688 acc 69.8% | 13 it/s
step  20800 | lr 2.82e-04 | loss 1.1252 pol 1.1200 rf 0.0518 acc 68.1% | 13 it/s
step  20900 | lr 2.81e-04 | loss 1.1212 pol 1.1158 rf 0.0545 acc 68.4% | 13 it/s
step  21000 | lr 2.81e-04 | loss 1.0973 pol 1.0898 rf 0.0756 acc 69.8% | 13 it/s
step  21100 | lr 2.81e-04 | loss 1.0961 pol 1.0888 rf 0.0732 acc 69.9% | 13 it/s
step  21200 | lr 2.81e-04 | loss 1.1062 pol 1.0989 rf 0.0735 acc 68.8% | 13 it/s
step  21300 | lr 2.81e-04 | loss 1.1046 pol 1.0967 rf 0.0793 acc 70.2% | 13 it/s
step  21400 | lr 2.80e-04 | loss 1.0918 pol 1.0828 rf 0.0898 acc 70.7% | 13 it/s
step  21500 | lr 2.80e-04 | loss 1.0903 pol 1.0819 rf 0.0839 acc 70.7% | 13 it/s
step  21600 | lr 2.80e-04 | loss 1.0957 pol 1.0878 rf 0.0790 acc 70.4% | 13 it/s
step  21700 | lr 2.80e-04 | loss 1.1100 pol 1.1027 rf 0.0732 acc 69.5% | 13 it/s
step  21800 | lr 2.80e-04 | loss 1.0996 pol 1.0928 rf 0.0684 acc 69.7% | 13 it/s
step  21900 | lr 2.79e-04 | loss 1.1130 pol 1.1078 rf 0.0524 acc 68.9% | 13 it/s
step  22000 | lr 2.79e-04 | loss 1.1094 pol 1.1049 rf 0.0452 acc 68.6% | 13 it/s
[eval] step 22000 val_loss 1.1436 val_acc 69.7%
step  22100 | lr 2.79e-04 | loss 1.1122 pol 1.1051 rf 0.0702 acc 69.2% | 13 it/s
step  22200 | lr 2.79e-04 | loss 1.1048 pol 1.0972 rf 0.0765 acc 69.7% | 13 it/s
step  22300 | lr 2.79e-04 | loss 1.1038 pol 1.0959 rf 0.0785 acc 69.9% | 13 it/s
step  22400 | lr 2.78e-04 | loss 1.1075 pol 1.0995 rf 0.0803 acc 69.6% | 13 it/s
step  22500 | lr 2.78e-04 | loss 1.0867 pol 1.0803 rf 0.0640 acc 70.9% | 13 it/s
step  22600 | lr 2.78e-04 | loss 1.0983 pol 1.0913 rf 0.0705 acc 69.7% | 13 it/s
step  22700 | lr 2.78e-04 | loss 1.1005 pol 1.0929 rf 0.0767 acc 69.6% | 13 it/s
step  22800 | lr 2.78e-04 | loss 1.1016 pol 1.0940 rf 0.0756 acc 69.8% | 13 it/s
step  22900 | lr 2.77e-04 | loss 1.1080 pol 1.1003 rf 0.0775 acc 68.7% | 13 it/s
step  23000 | lr 2.77e-04 | loss 1.1130 pol 1.1060 rf 0.0699 acc 69.5% | 13 it/s
step  23100 | lr 2.77e-04 | loss 1.1143 pol 1.1062 rf 0.0810 acc 68.8% | 13 it/s
step  23200 | lr 2.77e-04 | loss 1.1050 pol 1.0977 rf 0.0726 acc 68.9% | 13 it/s
step  23300 | lr 2.77e-04 | loss 1.1023 pol 1.0952 rf 0.0702 acc 68.9% | 13 it/s
